date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,qty,amount,ship_state,b2b,fulfilled_by
2022-05-01,shipped,amazon,amazon.in,expedited,set363,set363_kr_np_xl,set,xl,1,1338.0,jammu_&_kashmir,False,
2022-05-01,shipped,amazon,amazon.in,expedited,men5002,men5002_kr_xxl,kurta,xxl,1,499.0,rajasthan,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3543,jne3543_kr_xl,kurta,xl,1,368.0,madhya_pradesh,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3568,jne3568_kr_xl,kurta,xl,1,399.0,haryana,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,set385,set385_kr_np_xl,set,xl,0,,haryana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3160,jne3160_kr_g_xl,kurta,xl,1,685.0,maharashtra,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3607,jne3607_kr_xs,kurta,xs,0,,karnataka,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,set269,set269_kr_np_s,set,s,1,824.0,tamil_nadu,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0341,j0341_dr_xs,western_dress,xs,1,791.0,west_bengal,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3722,jne3722_kr_m,kurta,m,1,280.0,karnataka,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3722,jne3722_kr_l,kurta,l,2,560.0,karnataka,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,men5004,men5004_kr_l,kurta,l,1,499.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set183,set183_kr_dh_s,set,s,1,759.0,chhattisgarh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set398,set398_kr_pp_m,set,m,1,1186.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set397,set397_kr_np___m,set,m,1,1186.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3452,jne3452_kr_l,kurta,l,1,291.0,punjab,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne2205,jne2205_kr_467_a_m,kurta,m,1,329.0,maharashtra,False,
